impression_id,user_id,time,history,impressions,his_length,impression_length,his_prov,his_pop_count,pop_impression_count
19.0,U163898,11/15/19 9:38,N121878 N44451 N77225 N72133 N83062 N35921 N114408 N48608 N84423 N50536,N53018-0 N30206-1 N117802-0 N69938-0 N129416-0 N120089-0 N91737-0 N92905-0 N26703-1 N56602-0 N29160-0 N89764-0 N34044-0 N54368-0,10.0,14.0,"['motortrend', 'marieclaire', 'businessinsider', 'cambridge', 'abcnews', 'vogue', 'independent.co.uk', 'cnn', 'foxnews', 'wtsp']",7.0,11.0
507.0,U739600,11/15/19 11:18,N85484 N101377 N110373 N71643 N91597 N28442 N106469 N73222 N82055 N67369,N46641-0 N30206-0 N2110-0 N56602-0 N53018-0 N89764-0 N117802-0 N92905-0 N91737-0 N29160-0 N26703-0 N129416-0 N112536-0 N120086-1,10.0,14.0,"['cbssports', 'cnn', 'politico', 'bbc.co.uk', 'time', 'prevention', 'bhg', 'thehill', 'thehill', 'usatoday']",8.0,12.0
1460.0,U445791,11/15/19 9:46,N63858 N4104 N129651 N13970 N128648 N15371 N70067 N94407 N5326 N93130,N89764-0 N129416-0 N29160-0 N53018-0 N117802-0 N91737-0 N122944-0 N34044-0 N30206-0 N92905-1 N26703-0 N54368-0 N120089-0 N69938-0 N18356-0,10.0,15.0,"['usatoday', 'etonline', 'aljazeera', 'profootballtalk.nbcsports', 'wonderwall', 'moneycontrol', 'washingtonpost', 'nytimes', 'usatoday', 'cnn']",9.0,12.0
1992.0,U412304,11/15/19 7:31,N60243 N36094 N121991 N54380 N34644 N90482 N68216 N101119 N50536 N100197,N55801-0 N12384-0 N128045-0 N25621-0 N46894-0 N122640-0 N35304-0 N29160-0 N122944-1 N18190-0 N69938-0 N123209-0 N30582-0,10.0,13.0,"['cnn', 'youtube', 'yahoo', 'bestlifeonline', 'youtube', 'eatthis', 'youtube', 'caranddriver', 'wtsp', 'foxnews']",9.0,11.0
3790.0,U222391,11/15/19 19:14,N115006 N92439 N87281 N24446 N122668 N60510 N67206 N7041 N36428 N104437,N73556-0 N123462-0 N70240-0 N17038-0 N2110-0 N117105-0 N93453-0 N87192-0 N92223-0 N113286-0 N112897-0 N26553-1 N33983-0 N125045-0,10.0,14.0,"['apnews', 'nbcdfw', 'reuters', 'foxnews', 'movieweb', 'apnews', 'apnews', 'washingtonexaminer', 'theguardian', 'thedodo']",9.0,12.0
5328.0,U528266,11/15/19 13:06,N27234 N17746 N81509 N115007 N15371 N58843 N25152 N2686 N23929 N40765,N2110-0 N29160-0 N46641-0 N56602-0 N58760-0 N129416-0 N30206-0 N21018-0 N89764-0 N112536-0 N119999-0 N92905-0 N46555-0 N117802-0 N91737-1,10.0,15.0,"['bostonglobe', 'napatrufflefestival', 'usatoday', 'cnbc', 'moneycontrol', 'cbsnews', 'cnbc', 'standard.co.uk', 'bostonglobe', 'bestlifeonline']",7.0,13.0
5757.0,U537612,11/15/19 13:37,N47349 N128965 N50614 N89377 N41625 N46271 N72094 N85821 N7732 N50176,N46641-0 N47891-0 N2110-0 N99846-0 N21018-0 N112536-0 N89764-0 N119999-0 N91737-0 N46555-0 N129416-0 N29160-1 N56602-0,10.0,13.0,"['headtopics', 'hotnewhiphop', 'cntraveler', 'newsweek', 'insider', 'newsweek', 'france24', 'cnn', 'roadandtrack', 'usatoday']",8.0,11.0
5944.0,U580355,11/15/19 9:18,N128643 N82282 N56920 N60489 N65541 N129610 N57517 N112615 N16125 N110258,N18190-0 N117802-0 N89764-0 N69938-0 N129416-0 N30206-0 N53018-0 N122944-1 N26703-0 N29160-0 N54368-0 N91737-0 N18356-0,10.0,13.0,"['people', '247wallst', 'bobvila', 'familyhandyman', 'bestlifeonline', 'newsweek', 'ew', 'food52', 'bestlifeonline', 'safarilandscapedesigns']",6.0,11.0
6584.0,U233412,11/15/19 7:16,N118057 N127225 N4555 N89694 N807 N7553 N85063 N88075 N78130 N48177,N128045-0 N55801-0 N54368-0 N12384-0 N123209-0 N122640-0 N122944-0 N35304-1 N69938-0 N18190-0 N30582-0 N29160-0 N25621-0 N46894-0,10.0,14.0,"['wonderwall', 'bbc', 'people', 'olympics.nbcsports', 'sportingnews', 'apnews', 'nbcnews', 'abc.net.au', 'vanityfair', 'eatingwell']",7.0,12.0
7198.0,U49830,11/15/19 13:37,N47169 N117203 N46623 N42525 N14567 N53933 N34468 N41021 N73137 N14979,N47891-0 N129416-0 N56602-0 N46555-0 N58760-0 N46641-0 N2110-0 N89764-1 N99846-0 N91737-0 N21018-0 N119999-0 N112536-0 N29160-0,10.0,14.0,"['cnn', 'abcnews', 'espn', 'arrowheadpride', 'arrowheadpride', 'nbcdfw', 'usatoday', 'usatoday', 'cnn', 'npr']",8.0,12.0
8867.0,U383957,11/15/19 4:25,N98611 N29315 N80198 N88300 N18399 N45331 N73228 N106624 N61321 N59952,N82503-0 N104644-0 N4378-0 N18190-0 N55801-0 N128045-0 N80770-1 N59297-0 N69938-0 N29160-0 N72977-0 N122944-0 N54368-0 N82573-0,10.0,14.0,"['psychologytoday', 'wonderwall', 'kidshealth', 'reuters', 'cnn', 'cbsnews', 'cnn', 'hopkinsmedicine', 'abcnews', 'washingtonpost']",7.0,11.0
9325.0,U726758,11/15/19 11:46,N62427 N66812 N49839 N13996 N127530 N27849 N47866 N66666 N72590 N60457,N29160-0 N18468-1 N112536-0 N53018-0 N21018-0 N46641-0 N129416-0 N2110-0 N119999-0 N89764-0 N56602-0 N91737-0,10.0,12.0,"['forbes', 'redbookmag', 'reuters', 'sportingnews', 'businessinsider.in', 'sportingnews', 'larrybrownsports', 'usatoday', 'washingtonpost', 'insider']",9.0,11.0
9460.0,U725663,11/15/19 10:46,N79591 N27673 N36246 N71728 N69955 N121820 N17291 N28461 N110572 N67369,N2110-0 N26703-0 N129416-0 N92905-0 N117802-0 N122944-0 N34044-1 N89764-0 N29160-0 N91737-0 N53018-0 N54368-0 N112536-0,10.0,13.0,"['pinterest', 'usatoday', 'latimes', 'cbsnews', 'king5', 'buy.motorious', 'motortrend', 'motortrend', 'nytimes', 'usatoday']",8.0,11.0
9480.0,U514709,11/15/19 5:29,N4857 N92655 N93103 N30024 N46526 N94872 N121168 N46496 N126858 N54360,N29160-0 N69938-0 N82503-0 N122944-0 N18190-1 N128045-0 N55801-0 N80770-0 N4378-0 N72977-0 N54368-0 N104644-0 N59297-0 N82573-0,10.0,14.0,"['cnn', 'usatoday', 'dailymail.co.uk', 'cuddleclones', 'cnn', 'thedodo', 'thedodo', 'businessinsider.in', 'homework.study', 'cnn']",8.0,11.0
9981.0,U90809,11/15/19 8:49,N119710 N100193 N86153 N70910 N101997 N116438 N79529 N114874 N38237 N128881,N69938-0 N35304-0 N29160-0 N46894-0 N117802-0 N122944-0 N18190-0 N18356-0 N89764-1 N58465-0 N30582-0 N30206-0 N54368-0 N122640-0,10.0,14.0,"['usatoday', 'harvard', 'sportingnews', 'pbs', 'foodmatters', 'foxnews', 'healthline', 'popsugar', 'people', 'nbcnews']",8.0,12.0
11529.0,U721065,11/15/19 11:21,N81899 N113417 N88893 N12614 N11841 N91597 N66184 N42718 N76018 N34374,N26703-0 N34044-0 N112536-0 N117802-0 N29160-1 N89764-0 N120086-1 N92905-0 N46641-0 N2110-0 N129416-0 N53018-0 N56602-0 N91737-0,10.0,14.0,"['usatoday', 'phys', 'thedodo', 'insider', 'cnn', 'time', 'abcnews', 'nesn', 'apnews', 'yahoo']",9.0,12.0
12377.0,U402918,11/15/19 7:57,N80126 N26271 N113582 N54043 N118556 N79909 N106739 N20192 N64235 N73212,N54368-0 N29160-0 N123209-0 N12974-0 N122944-0 N18190-0 N122640-0 N35304-0 N58465-1 N69938-0 N18356-0 N46894-0 N30206-0 N30582-0,10.0,14.0,"['cnn', 'katc', 'barrons', 'abcnews', 'cbsnews', 'nbcnews', 'apnews', 'expressnews', 'apnews', 'abcnews']",7.0,11.0
13717.0,U359901,11/15/19 13:23,N116989 N81899 N52842 N119674 N71977 N82492 N93963 N19175 N74996 N109387,N91737-0 N119999-0 N117802-0 N58760-0 N46555-0 N129416-0 N89764-0 N21018-0 N112536-0 N2110-0 N46641-1 N56602-0 N92905-0,10.0,13.0,"['pagesix', 'usatoday', 'espn', 'cnn', 'yahoo', 'yahoo', 'yahoo', 'politico', 'latimes', 'usatoday']",9.0,11.0
