Unnamed: 0,user_id,history,impressions,candidate,truth
0,U739186,N71586 N9375 N66190 N50428 N73137,N122640-0 N18356-0 N18190-0 N69938-1 N30582-0 N46894-0 N122944-0 N29160-0 N58465-0 N123209-0 N35304-0 N30206-0 N54368-0 N12974-0,"['N122640', 'N18356', 'N18190', 'N69938', 'N30582', 'N46894', 'N122944', 'N29160', 'N58465', 'N123209', 'N35304', 'N30206', 'N54368', 'N12974']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,U303489,N72976 N72976 N77541 N120305 N76810,N29160-0 N69938-0 N18190-0 N30582-0 N35304-0 N72977-0 N12384-0 N122944-1 N46894-0 N128045-0 N54368-0 N62800-0 N123209-0 N82573-0,"['N29160', 'N69938', 'N18190', 'N30582', 'N35304', 'N72977', 'N12384', 'N122944', 'N46894', 'N128045', 'N54368', 'N62800', 'N123209', 'N82573']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2,U249830,N60457 N112642 N104737 N108801 N86394,N53018-0 N54368-0 N69938-0 N91737-0 N18190-0 N89764-0 N92905-1 N26703-0 N29160-0 N30206-0 N117802-0 N18356-0 N129416-0 N122944-0,"['N53018', 'N54368', 'N69938', 'N91737', 'N18190', 'N89764', 'N92905', 'N26703', 'N29160', 'N30206', 'N117802', 'N18356', 'N129416', 'N122944']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
3,U735372,N92279 N26935 N748 N32756 N128483,N112897-0 N33983-0 N123462-0 N87192-0 N73556-0 N2110-0 N113286-0 N26553-0 N92223-0 N17038-1 N125045-0 N93453-0 N117105-0,"['N112897', 'N33983', 'N123462', 'N87192', 'N73556', 'N2110', 'N113286', 'N26553', 'N92223', 'N17038', 'N125045', 'N93453', 'N117105']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
4,U411555,N48412 N50012 N72212 N69591 N27723,N122640-0 N54368-0 N18356-0 N123209-0 N117802-0 N35304-0 N29160-1 N89764-0 N69938-0 N18190-0 N30206-1 N122944-0 N58465-0,"['N122640', 'N54368', 'N18356', 'N123209', 'N117802', 'N35304', 'N29160', 'N89764', 'N69938', 'N18190', 'N30206', 'N122944', 'N58465']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
5,U726847,N71977 N91597 N72187 N121652 N67533,N49978-0 N18190-0 N117802-0 N122944-0 N89764-0 N30206-0 N29160-1 N91737-0 N58465-0 N18356-0 N69938-0 N54368-0 N46894-0,"['N49978', 'N18190', 'N117802', 'N122944', 'N89764', 'N30206', 'N29160', 'N91737', 'N58465', 'N18356', 'N69938', 'N54368', 'N46894']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
6,U740818,N85722 N24885 N121550 N104737 N95066,N46641-0 N129416-0 N21018-0 N119999-0 N46555-0 N30206-0 N89764-0 N56602-0 N117802-0 N92905-0 N58760-0 N2110-0 N112536-0 N91737-1 N29160-0,"['N46641', 'N129416', 'N21018', 'N119999', 'N46555', 'N30206', 'N89764', 'N56602', 'N117802', 'N92905', 'N58760', 'N2110', 'N112536', 'N91737', 'N29160']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
7,U417777,N98062 N116703 N91319 N80778 N94196,N4331-0 N15438-0 N80770-0 N69938-0 N19834-0 N19162-0 N44453-0 N5521-0 N56565-1 N121375-0 N76254-0 N87470-0 N121138-0,"['N4331', 'N15438', 'N80770', 'N69938', 'N19834', 'N19162', 'N44453', 'N5521', 'N56565', 'N121375', 'N76254', 'N87470', 'N121138']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
8,U611365,N68780 N65259 N454 N42974 N48839,N89764-0 N29160-0 N53018-0 N56602-0 N91737-0 N21018-0 N119999-0 N129416-0 N2110-1 N18468-0 N112536-0 N46641-0,"['N89764', 'N29160', 'N53018', 'N56602', 'N91737', 'N21018', 'N119999', 'N129416', 'N2110', 'N18468', 'N112536', 'N46641']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
9,U718281,N88935 N59327 N45124 N13865 N67369,N53018-0 N29160-0 N34044-0 N91737-0 N92905-0 N129416-0 N56602-1 N26703-0 N117802-0 N2110-0 N112536-0 N54368-0 N89764-0,"['N53018', 'N29160', 'N34044', 'N91737', 'N92905', 'N129416', 'N56602', 'N26703', 'N117802', 'N2110', 'N112536', 'N54368', 'N89764']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
10,U488403,N127916 N49262 N9892 N59351 N31649,N18190-0 N122944-0 N26703-0 N54368-0 N91737-0 N18356-0 N129416-0 N53018-0 N29160-0 N117802-0 N46894-0 N92905-0 N30206-1 N89764-0 N69938-0,"['N18190', 'N122944', 'N26703', 'N54368', 'N91737', 'N18356', 'N129416', 'N53018', 'N29160', 'N117802', 'N46894', 'N92905', 'N30206', 'N89764', 'N69938']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
11,U142987,N26421 N32369 N13193 N115743 N23929,N59297-0 N122640-1 N55801-0 N104644-0 N18190-0 N122944-0 N29160-0 N54368-0 N69938-0 N128045-0 N80770-0 N12384-0,"['N59297', 'N122640', 'N55801', 'N104644', 'N18190', 'N122944', 'N29160', 'N54368', 'N69938', 'N128045', 'N80770', 'N12384']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,U194823,N68185 N77440 N127916 N55780 N72133,N93453-0 N112897-0 N92223-0 N73556-0 N113286-0 N17038-0 N26553-0 N28863-0 N117105-0 N33983-0 N125045-0 N87192-1 N2110-0 N123462-0,"['N93453', 'N112897', 'N92223', 'N73556', 'N113286', 'N17038', 'N26553', 'N28863', 'N117105', 'N33983', 'N125045', 'N87192', 'N2110', 'N123462']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
13,U713597,N109436 N27779 N13674 N62115 N107862,N69938-0 N19834-0 N44453-0 N5521-0 N110073-0 N76254-0 N94999-0 N4331-0 N19162-0 N51163-0 N103830-0 N83491-0 N80770-0 N15438-1,"['N69938', 'N19834', 'N44453', 'N5521', 'N110073', 'N76254', 'N94999', 'N4331', 'N19162', 'N51163', 'N103830', 'N83491', 'N80770', 'N15438']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
14,U725344,N67623 N64926 N11821 N63066 N42718,N18468-1 N56602-0 N119999-0 N53018-1 N91737-0 N2110-0 N46641-0 N129416-0 N29160-1 N89764-0 N112536-0 N21018-0,"['N18468', 'N56602', 'N119999', 'N53018', 'N91737', 'N2110', 'N46641', 'N129416', 'N29160', 'N89764', 'N112536', 'N21018']","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
